Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4186.18994140625,4303.14990234375,3711.090087890625,3940.35009765625,3940.35009765625,33421060000
2000-02-01,3961.070068359375,4698.4599609375,3911.840087890625,4696.68994140625,4696.68994140625,35644700000
2000-03-01,4732.81982421875,5132.52001953125,4355.68994140625,4572.830078125,4572.830078125,43200490000
2000-04-01,4494.89013671875,4572.83984375,3227.0400390625,3860.659912109375,3860.659912109375,35147970000
2000-05-01,3930.179931640625,3982.3798828125,3042.659912109375,3400.909912109375,3400.909912109375,30831980000
2000-06-01,3471.949951171875,4073.72998046875,3459.85009765625,3966.110107421875,3966.110107421875,33352380000
2000-07-01,3950.590087890625,4289.06005859375,3615.7900390625,3766.989990234375,3766.989990234375,30916110000
2000-08-01,3760.949951171875,4208.72998046875,3521.139892578125,4206.35009765625,4206.35009765625,33222920000
2000-09-01,4252.14990234375,4259.8701171875,3614.659912109375,3672.820068359375,3672.820068359375,34727330000
2000-10-01,3714.47998046875,3714.47998046875,3026.110107421875,3369.6298828125,3369.6298828125,44129010000
2000-11-01,3316.510009765625,3480.010009765625,2523.0400390625,2597.929931640625,2597.929931640625,38181910000
2000-12-01,2644.090087890625,3028.75,2288.159912109375,2470.52001953125,2470.52001953125,44347190000
2001-01-01,2474.159912109375,2892.360107421875,2251.7099609375,2772.72998046875,2772.72998046875,49399780000
2001-02-01,2771.570068359375,2796.889892578125,2127.5,2151.830078125,2151.830078125,36428040000
2001-03-01,2126.300048828125,2243.780029296875,1794.2099609375,1840.260009765625,1840.260009765625,44719260000
2001-04-01,1835.219970703125,2202.860107421875,1619.5799560546875,2116.239990234375,2116.239990234375,42649960000
2001-05-01,2116.239990234375,2328.050048828125,2052.409912109375,2110.489990234375,2110.489990234375,41465750000
2001-06-01,2131.1201171875,2264.580078125,1973.699951171875,2160.5400390625,2160.5400390625,36577380000
2001-07-01,2156.760009765625,2181.050048828125,1934.6700439453125,2027.1300048828125,2027.1300048828125,32812530000
2001-08-01,2051.56005859375,2103.159912109375,1777.1099853515625,1805.4300537109375,1805.4300537109375,32437350000
2001-09-01,1802.2900390625,1836.18994140625,1387.06005859375,1498.800048828125,1498.800048828125,30829450000
2001-10-01,1491.449951171875,1792.8699951171875,1458.4100341796875,1690.199951171875,1690.199951171875,43885890000
2001-11-01,1705.52001953125,1965.0899658203125,1683.989990234375,1930.5799560546875,1930.5799560546875,38324730000
